title,brand,description,price,inventory,category,image_1,image_2,image_3,image_4
HyperX Cloud Stinger,HyperX,Lightweight with 90-degree rotating ear cups,49.99,5,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_stinger_1_main_900x.jpg?v=1657645563,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_stinger_4_side_up_900x.jpg?v=1657645563,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_stinger_5_extended_900x.jpg?v=1657645563,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_stinger_3_side_900x.jpg?v=1657645563
HyperX Cloud Alpha S,HyperX,HyperX Virtual 7.1 surround sound,79.99,10,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_s_black_1_main_900x.jpg?v=1660228731,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_s_black_3_side_900x.jpg?v=1660228731,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_s_black_7_accessories_900x.jpg?v=1660228757,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_s_black_3_side_900x.jpg?v=1660228731
HyperX Cloud Alpha,HyperX,HyperX Dual Chamber Drivers,99.99,10,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_blackred_1_main_900x.jpg?v=1659974245,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_blackred_3_front_900x.jpg?v=1659974245,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_blackred_6_accessories_900x.jpg?v=1659974245,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_alpha_black_5_inline_900x.jpg?v=1659974245
HyperX Cloud II Wireless,HyperX,2.4GHz Wireless and up to 30 hour battery,149.99,15,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_wireless_1_main_900x.jpg?v=1657616656,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_wireless_3_side_900x.jpg?v=1657616656,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_wireless_4_front_900x.jpg?v=1657616656,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_wireless_6_accessories_160x160.jpg?v=1657616656
HyperX Cloud Flight S Wireless,HyperX,2.4 GHz Wireless Gaming Headset,159.99,15,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_flight_s_01_main_900x.jpg?v=1657616659,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_flight_s_03_rotated_angle_900x.jpg?v=1657616659,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_flight_s_05_front_900x.jpg?v=1657616659,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_flight_s_08_accessories_160x160.jpg?v=1657616659
HyperX Cloud II,HyperX,Virtual 7.1 Surround Sound,99.99,15,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_gunmetal_2_main_mixer_900x.jpg?v=1659115689,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_gunmetal_3_detachable_900x.jpg?v=1659115689,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_gunmetal_4_side_900x.jpg?v=1659115689,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_ii_gunmetal_5_front_900x.jpg?v=1659115689
HyperX Cloud Revolver - Gaming Headset + 7.1,HyperX,Studio-grade sound stage,149.99,15,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_revolver_7.1_1_main_900x.jpg?v=1645202459,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_revolver_7.1_5_side_900x.jpg?v=1646174191,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_revolver_7.1_3_front_900x.jpg?v=1646174191,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_revolver_7.1_6_accessories_c5a037d4-5b15-43c6-8a87-23f6f79a2057_900x.jpg?v=1645202459
HyperX Cloud MIX,HyperX,Bluetooth® Wireless Technology,199.99,10,headset,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_mix_2_detachable_900x.jpg?v=1657616658,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_mix_3_front_900x.jpg?v=1657616658,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_mix_4_side_900x.jpg?v=1657616658,https://cdn.shopify.com/s/files/1/0561/8345/5901/products/hyperx_cloud_mix_7_accessories_900x.jpg?v=1657616658
SteelSeries Arctis Nova Pro Wireless,SteelSeries,AI-powered ClearCast Gen 2 noise cancelling microphone silences background noise and keyboard sounds for pristine audio communication and a fully retractable design,349.99,15,headset,https://media.steelseriescdn.com/thumbs/filer_public/cf/30/cf300ea2-7665-4314-be63-eb06350b21c6/imgbuy_arctis_nova_pro_wl_black_1_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/29/b7/29b741ab-741f-4f74-b1eb-34f8ff2c637b/imgbuy_arctis_nova_pro_wl_black_4_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/2f/9f/2f9fcdaf-eefc-4de6-a7c4-6f4f39da8840/imgbuy_arctis_nova_pro_wl_black_5_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/72/96/72962981-26d5-4aef-831e-8d82a7fb5740/imgbuy_arctis_nova_pro_wl_black_6_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Arctis Nova Pro,SteelSeries,AI-powered ClearCast Gen 2 noise cancelling microphone silences background noise and keyboard sounds for pristine audio communication with a fully retractable design,324.99,15,headset,https://media.steelseriescdn.com/thumbs/filer_public/11/0f/110f0ec3-13ec-44e4-8c05-fd279edaadbb/imgbuy_arctis_nova_pro_black_1_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/19/3f/193f914a-7f2b-4e4f-9d41-7e8bfb0d5504/imgbuy_arctis_nova_pro_black_4_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/12/41/1241dbfe-6262-420d-b9b2-7b8da97d9d45/imgbuy_arctis_nova_pro_black_5_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/b2/7f/b27f8160-af2d-4717-bff6-c737fed8b574/imgbuy_arctis_nova_pro_black_6_v2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
